PMID,Sentence,Found Terms
38696684,"Ketamine caused a continuous increase in respiratory rate and blood pressure, while diazepam caused a continuous decrease in the respiratory rate.","Respiratory Rate, Blood Pressure"
38696683, Cardiovascular diseases are the leading causes of death globally resulting in 17-19 million death every year.,"Cardiovascular Diseases, Death"
38696683,"However, treatment with methanolic extract of Ricinus communis improved antioxidant defense system, attenuate hemodynamic impairment and left ventricular dysfunction, as well as inhibit lipid peroxidation and prevent hyperlipidemia in rats.","Ventricular Dysfunction, Left, Ventricular Dysfunction"
38696681,"This study assessed biomarkers of hepatic injury (alanine transaminase, aspartate aminotransferase, alkaline phosphatase, and gamma- glutamyl transferase); oxidative stress (hydrogen peroxide concentration, lipid peroxidation, and reduced glutathione levels); measured activities of antioxidant enzymes (catalase, sodium dismutase, glutathione peroxidase, glutathione S-transferase); and inflammation (Tumor necrosis factor (TNF)-α, interleukin-1-Beta (IL-1β) and iNOS).","Inflammation, Necrosis"
38696679,"Parameters assessed at postpartum include antidepressant-like (force swim test, FST; tail suspension-test, TST), locomotor (open field test, OFT), anxiolytic-like (elevated plus maze, EPM; light-dark box, LDB), learning and memory (T-maze; novel object recognition task, NORT), social (nest score) and analgesic-like (hot plate test, HPT; tail flick test, TFT) behaviours.","Maze Learning, Social Learning, Learning, Memory, Open Field Test, Elevated Plus Maze Test"
38696679,"In conclusion, the aqueous extract has a therapeutic effect that reduces postpartum-like depression and anxiety, and improves locomotor activity.","Depression, Anxiety"
38696678,"Depression is a mental disorder characterized by depressive episodes, such as low mood, low self-esteem, feeling of guilt, and poor concentration.","Depressive Disorder, Depression, Guilt"
38696678,"However, no statistically significant effect was observed in line crossing (locomotor activity) and the discrimination ratio of NORT (non-spatial short-term memory) between cinnamon administered groups and the control group.","Memory, Memory, Short-Term"
38695070,An Occult Cardiac Tamponade: Echocardiographic Diagnosis of Aortic Root Rupture in Infective Endocarditis.,"Aortic Rupture, Diagnosis, Endocarditis, Rupture, Cardiac Tamponade"
38695070,"The patient experienced an aortic root rupture and pericardial tamponade, necessitating urgent surgical intervention.","Aortic Rupture, Rupture"
38695070,Transesophageal echocardiography (TEE) was instrumental in confirming the diagnosis and facilitating the decision to perform a Bentall's procedure.,"Diagnosis, Echocardiography"
38695066,"Comparison of Preemptive Effect of Intravenous Ketorolac Versus Nalbuphine on Postoperative Shivering and Pain in Patients Undergoing Surgery Under Spinal Anesthesia: A Prospective, Randomized, Double-Blind Study.","Pain, Postoperative, Pain"
38694832,Sonographic anatomy and technique to image the plantar digital nerves and aid identification of a Morton's neuroma.,"Neuroma, Morton Neuroma"
38694832,"The anatomy of the forefoot is complex, and the sonographic assessment to image the plantar digital nerves and exclude, diagnose or discriminate between a Morton's neuroma and intermetatarsal bursitis can be challenging.","Bursitis, Neuroma, Morton Neuroma"
38694562,"As an example, our model simulated the optimal CHM formulas for the treatment of coronary heart disease (CHD) with depression, and through model sensitivity analysis, we calculated the balanced scoring of the formulas.","Disease, Coronary Disease, Depression"
38694562,"This novel multiscale model opened up a new avenue to combine ""disease syndrome"" and ""macro micro"" system modeling to facilitate translational research in CHM formulas.","Disease, Syndrome"
38694534,"There is growing evidence for reduced post-operative complications, and lower hospital costs associated with early cholecystectomy for acute calculus cholecystitis (AC) compared to delayed surgery.","Cholecystitis, Acute, Cholecystitis"
38694533,The objective of this study is to evaluate the effectiveness of MPI-based prognosis and its impact on Indian patients with secondary peritonitis.,"Prognosis, Peritonitis"
38694528,Primary pancreatic hydatid disease: A rare presentation of echinococcosis.,"Disease, Echinococcosis"
38694528,Diagnosis of pancreatic hydatid cyst is a challenge and operative skills are important to avoid spillage of cyst's content.,"Pancreatic Cyst, Diagnosis"
38694528,A 19-year-old male patient was admitted to hospital with recurrent abdominal pain which was on epigastrium and left upper quadrant of abdomen.,"Abdominal Pain, Pain"
38694528,"Pain was not associated with nausea, vomiting or fever.","Vomiting, Fever, Nausea, Pain"
38694528,"Possible diagnosis were either pancreatic hydatid disease, pancreatic cyst adenoma or cystadenocarcinoma or pseudocyst of autoimmune pancreatitis.","Autoimmune Pancreatitis, Disease, Cystadenocarcinoma, Pancreatic Cyst, Diagnosis, Adenoma, Pancreatitis, Pancreatic Pseudocyst"
38694528,Whole body positron emission tomography (PET-CT) scan showed no other cyst or lesion other than pancreatic cyst.,"Pancreatic Cyst, Tomography"
38694528,Hydatid disease indirect hemagglutination test has been studied and it was positive.,"Disease, Hemagglutination"
38694528,"Primary pancreatic hydatid disease should be in differential diagnosis when newly appearing pancreatic cyst has been diagnosed, especially in endemic areas.","Disease, Pancreatic Cyst, Diagnosis, Diagnosis, Differential"
38694524,Adult idiopathic hypertrophic pyloric stenosis presenting with gastroduodenal intussusception: A rare case report.,"Pyloric Stenosis, Intussusception"
38694524,"Histologically, it may be mistaken for spindle cell neoplasms such as gastrointestinal stromal tumour (GIST).","Gastrointestinal Neoplasms, Neoplasms"
38694524,"Patients with AIHPS usually present with early satiety, abdominal fullness, postprandial vomiting, epigastric pain, and eructations.","Vomiting, Abdominal Pain, Pain"
38694522,"In this study, the role of positron emission tomography in determining axillary metastasis and its correlation with the nomogram was evaluated.","Role, Tomography"
38694521,"Implementation of measures to reduce this problem, particularly the prophylactic use of negative pressure wound therapy, may be an effective and promising method to reduce the risk of surgical site infection in patients with closed surgical wounds.","Surgical Wound Infection, Surgical Wound, Wound Infection"
38694521,The aim of the study was to identify the effectiveness of negative pressure wound therapy as a prophylactic measure in reducing the risk of surgical site infection in patients with a closed surgical wound.,"Surgical Wound Infection, Surgical Wound, Wound Infection"
38694521,Nine studies were identified that addressed the effectiveness of prophylactic negative pressure wound therapy in reducing the risk of surgical site infection in the patient with a closed surgical wound.,"Surgical Wound Infection, Surgical Wound, Wound Infection"
38694521,"There was also evidence of effectiveness in reducing surgical wound dehiscence, drainage output and drainage time, as well as reducing the incidence of hospital readmissions and the need for wound debridement.","Surgical Wound Dehiscence, Surgical Wound"
38694521,"Prophylactic negative pressure wound therapy can be an effective treatment option, among others, in reducing the risk of surgical site infection in patients with a closed surgical wound.","Surgical Wound Infection, Surgical Wound, Wound Infection"
38694518,"Abdominal pain, jaundice and palpable abdominal mass are defined as the classical triad.","Abdominal Pain, Pain, Jaundice"
38694518,"However, nausea, vomiting, fever, itching and weight loss are frequent complaints.","Vomiting, Fever, Nausea, Weight Loss"
38694256,"Results suggest that mothers tend to rely on their bodily feelings more when judging the states of their own child than those of other children, possibly consistent with their regulatory parental role.","Role, Mothers"
38694240,"More than one-third of people with diabetes develop diabetic kidney disease (DKD), which substantially increases risks of kidney failure, cardiovascular disease (CVD), hypoglycemia, death, and other adverse health outcomes.","Disease, Hypoglycemia, Death"
38692814,"Some examples related to lung pathology include acid-fast stain evaluation, programmed death ligand-1 (PDL-1) interpretation, evaluating histologic patterns of non-small-cell lung carcinoma, evaluating histologic features in mesothelioma associated with adverse outcomes, predicting response to anti-PDL-1 therapy from hematoxylin and eosin-stained slides, evaluation of tumor microenvironment, evaluating patterns of interstitial lung disease, nondestructive methods for tissue evaluation, and others.","Carcinoma, Disease, Carcinoma, Non-Small-Cell Lung, Death, Mesothelioma"
