Symptom,Related terms
Learning Disabilities,"Environmental Exposure;Quarantine;Specific Learning Disorder;Dyslexia;Feasibility Studies;Cross-Over Studies;Self Report;Comorbidity;Frontotemporal Dementia;Perception;Cerebral Cortex;Phthalic Acids;Ichthyosis;Child Abuse;Emotional Regulation;Comprehension;Intelligence;Qualitative Research;Theory of Mind;Neurodevelopmental Disorders;Bullying;Intellectual Disability;COVID-19;Agraphia;Occupational Therapy;Benzene Derivatives;Quality of Life;Auditory Perception;ORAI1 Protein;Empathy;Benzene;Myopathies, Structural, Congenital;Stereotyping;Myopia;Parents;Parkinson Disease;Cognitive Dysfunction;Depression;Perfectionism;Genome-Wide Association Study;Dyscalculia;Awareness;Crime Victims;Time Perception;Peer Group;Handwriting;Parenting;Blood Platelet Disorders;Retinal Ganglion Cells;Neurofibromatosis 1;Motor Skills;Memory, Short-Term;White Matter;Xylenes;Physicians;Neuroglia;Adverse Childhood Experiences;Glaucoma;Autism Spectrum Disorder;Magnetic Resonance Imaging;Language Development Disorders;Mathematics;Memory Disorders;Specific Language Disorder;Attentional Blink;Prenatal Exposure Delayed Effects;Toluene;Reading;Video Games;Phonetics;Learning Disabilities;Asthma;Migraine Disorders;Language Development;Executive Function;Nervous System Physiological Phenomena;Maternal Health Services;Visual Perception;Dermatitis, Atopic;Attention Deficit Disorder with Hyperactivity;Spleen"
Specific Language Disorder,"Child Language;Writing;Mathematics;Specific Language Disorder;Language Disorders;Dyslexia;Linguistics;Communication;Multilingualism;Education, Special;Speech Perception;Reading;Semantics;Verbal Learning;Speech Sound Disorder;Deafness;Genetic Predisposition to Disease;Learning Disabilities;Chromosome Deletion;Problem Solving;Parkinson Disease;Memory, Short-Term;Speech-Language Pathology;Self-Injurious Behavior;Asian People;Speech;Narration;Alpha Rhythm;Translocation, Genetic;Theory of Mind;Vocabulary;Language;Gestures;Autism Spectrum Disorder;Language Tests;Language Development Disorders"
Specific Learning Disorder,"Mathematics;Environmental Exposure;Peer Group;Specific Learning Disorder;COVID-19;Attentional Blink;Dyslexia;Music;Agraphia;Occupational Therapy;Benzene Derivatives;Cross-Over Studies;Toluene;Reading;Handwriting;Speech Perception;Self Report;Auditory Perception;Video Games;ORAI1 Protein;Empathy;Phonetics;Benzene;Cerebral Cortex;Frontotemporal Dementia;Phthalic Acids;Stereotyping;Myopathies, Structural, Congenital;Myopia;Ichthyosis;Migraine Disorders;Language Development;Blood Platelet Disorders;Child Abuse;Retinal Ganglion Cells;Neurofibromatosis 1;Motor Skills;Emotional Regulation;Parenting;Memory, Short-Term;Parkinson Disease;Gray Matter;Executive Function;Comprehension;Nervous System Physiological Phenomena;Otitis Media;Intelligence;Xylenes;Perfectionism;Theory of Mind;Neurodevelopmental Disorders;Neuroglia;Visual Perception;Adverse Childhood Experiences;Genome-Wide Association Study;Glaucoma;Dyscalculia;Autism Spectrum Disorder;Awareness;Attention Deficit Disorder with Hyperactivity;Magnetic Resonance Imaging;Crime Victims;Language Development Disorders;Time Perception;Spleen;Bullying"
Agraphia,"Deep Brain Stimulation;Writing;COVID-19;Brain Diseases;Primary Progressive Nonfluent Aphasia;Language Disorders;Dyslexia;Carbon Monoxide Poisoning;Cognition Disorders;Apraxias;Transcranial Direct Current Stimulation;Agraphia;Leukoencephalopathies;Motor Activity;Reading;Handwriting;Cerebral Revascularization;Ischemic Stroke;Video Games;Deep Learning;Supranuclear Palsy, Progressive;Vascular Diseases;Learning Disabilities;Frontotemporal Dementia;Antineoplastic Agents;Eye-Tracking Technology;Self-Help Devices;Cerebrovascular Circulation;Parkinson Disease;Neuropsychological Tests;Brain Ischemia;Memory, Short-Term;Cognitive Dysfunction;Aphasia;Moyamoya Disease;Comprehension;Aphasia, Primary Progressive;Arteriovenous Malformations;MELAS Syndrome;Alexia, Pure;Antibodies, Bispecific;Physicians;Hyperbaric Oxygenation;Acidosis, Lactic;Alzheimer Disease;Amyotrophic Lateral Sclerosis;Stroke Rehabilitation;Attention Deficit Disorder with Hyperactivity;Dyscalculia;Language Tests;Stroke"
Dyscalculia,"Mathematics;Specific Learning Disorder;Dyslexia;Anomia;Cognition Disorders;Apraxias;Agraphia;Epilepsy;Multilingualism;Motor Activity;Educational Measurement;Auditory Perception;Video Games;Brain Injuries;Mathematical Concepts;Cerebral Palsy;Form Perception;Learning Disabilities;Migraine with Aura;Agnosia;Self-Help Devices;Turner Syndrome;Cerebrovascular Circulation;Hispanic or Latino;Memory, Short-Term;Cognitive Dysfunction;Aphasia;Gerstmann Syndrome;Motion Perception;Nuclear Magnetic Resonance, Biomolecular;Neurodevelopmental Disorders;Language;Visual Cortex;Dyscalculia;Stroke Rehabilitation;Attention Deficit Disorder with Hyperactivity;Time Perception;Stroke;Droseraceae;Crowding"
Dyslexia,"Environmental Exposure;Peer Group;COVID-19;Attentional Blink;Dyslexia;Music;Occupational Therapy;Benzene Derivatives;Cross-Over Studies;Toluene;Reading;Handwriting;Speech Perception;Self Report;Stroke;Video Games;ORAI1 Protein;Phonetics;Benzene;Learning Disabilities;Cerebral Cortex;Phthalic Acids;Myopathies, Structural, Congenital;Stereotyping;Myopia;Ichthyosis;Migraine Disorders;Language Development;Blood Platelet Disorders;Neurofibromatosis 1;Retinal Ganglion Cells;Emotional Regulation;Motor Skills;Parenting;Memory, Short-Term;Gray Matter;Executive Function;Comprehension;Nervous System Physiological Phenomena;Otitis Media;Intelligence;Pyrethrins;Xylenes;Insecticides;Theory of Mind;Alexia, Pure;Neurodevelopmental Disorders;Neuroglia;Visual Perception;Adverse Childhood Experiences;Child, Gifted;Genome-Wide Association Study;Glaucoma;Chlorpyrifos;Autism Spectrum Disorder;Awareness;Attention Deficit Disorder with Hyperactivity;Magnetic Resonance Imaging;Crime Victims;Language Development Disorders;Spleen;Bullying"
"Dyslexia, Acquired","Child Language;COVID-19;Nerve Net;Dyslexia;Neurosurgical Procedures;Hearing Aids;Transcranial Direct Current Stimulation;Agraphia;Dyslexia, Acquired;Speech Therapy;Facial Recognition;Multilingualism;Psycholinguistics;Reading;Verbal Learning;Semantics;Pattern Recognition, Visual;Ischemic Stroke;Visual Acuity;Outcome and Process Assessment, Health Care;Form Perception;Cerebral Hemorrhage;Language Therapy;Child Development;Cerebral Cortex;Agnosia;Patient Reported Outcome Measures;Brain Ischemia;Subarachnoid Hemorrhage;White Matter;Prosthesis Fitting;Task Performance and Analysis;Functional Laterality;Aphasia;Speech;Corpus Callosum;Scrub Typhus;Siderosis;Posterior Leukoencephalopathy Syndrome;Alexia, Pure;Outcome Assessment, Health Care;Vocabulary;Visual Perception;Prosopagnosia;Stroke;Learning;Temporal Lobe;Perceptual Disorders"
Confusion,"Rivastigmine;Intensive Care Units;Transcranial Direct Current Stimulation;Listeria monocytogenes;Orthopedic Procedures;Hospitals, University;Databases, Factual;Oxygen Saturation;Airway Extubation;Nursing Assistants;Neoplasms;Intraoperative Complications;Cytokines;Registries;Dexmedetomidine;Antibodies, Monoclonal, Humanized;COVID-19;Sevoflurane;Propofol;Inpatients;Machine Learning;Administration, Intranasal;Antipsychotic Agents;Randomized Controlled Trials as Topic;Dose-Response Relationship, Drug;Neurodegenerative Diseases;Pain, Postoperative;Confusion;Calcinosis;ROC Curve;Colorectal Neoplasms;Postoperative Complications;Police;Biomarkers;Respiration, Artificial;Emergence Delirium;Hospices;Drug-Related Side Effects and Adverse Reactions;Education, Medical, Undergraduate;Palliative Care;Brain Abscess;Cholinergic Antagonists;Listeriosis;Inflammation;Electroencephalography;International Classification of Diseases;Stroke;Critical Illness;Spectroscopy, Near-Infrared;Anesthesia, General;Nasal Surgical Procedures;Deglutition Disorders;Thoracic Vertebrae;Bipolar Disorder;Dementia;Fractures, Compression;Abdomen;Melatonin;Remifentanil;Hypotension;Geriatric Assessment;Anti-Bacterial Agents;Coma;Cholinesterase Inhibitors;Laparoscopy;Hypnotics and Sedatives;Postoperative Cognitive Complications;Geriatrics;Liver Neoplasms;Sleep Quality;Focus Groups;Anesthetics, Inhalation;Hospitalization;Gabapentin;Accidental Falls;Nomograms;Heart Rate;Frailty;Hypothermia;Hepatectomy;Carcinoma, Hepatocellular;Head;Aphasia;Paliperidone Palmitate;Curriculum;Coronary Artery Bypass;Hip Fractures;Delirium"
Delirium,"Rivastigmine;Intensive Care Units;Transcranial Direct Current Stimulation;Listeria monocytogenes;Orthopedic Procedures;Hospitals, University;Databases, Factual;Oxygen Saturation;Airway Extubation;Nursing Assistants;Neoplasms;Intraoperative Complications;Cytokines;Registries;Dexmedetomidine;Antibodies, Monoclonal, Humanized;COVID-19;Sevoflurane;Propofol;Inpatients;Machine Learning;Administration, Intranasal;Antipsychotic Agents;Randomized Controlled Trials as Topic;Dose-Response Relationship, Drug;Pain, Postoperative;ROC Curve;Colorectal Neoplasms;Postoperative Complications;Police;Biomarkers;Long-Term Care;Respiration, Artificial;Emergence Delirium;Hospices;Drug-Related Side Effects and Adverse Reactions;Education, Medical, Undergraduate;Palliative Care;Brain Abscess;Cholinergic Antagonists;Listeriosis;Inflammation;Electroencephalography;International Classification of Diseases;Stroke;Critical Illness;Spectroscopy, Near-Infrared;Anesthesia, General;Nasal Surgical Procedures;Deglutition Disorders;Thoracic Vertebrae;Bipolar Disorder;Dementia;Fractures, Compression;Abdomen;Diabetes Mellitus, Type 2;Melatonin;Remifentanil;Hypotension;Geriatric Assessment;Anti-Bacterial Agents;Coma;Cholinesterase Inhibitors;Laparoscopy;Hypnotics and Sedatives;Postoperative Cognitive Complications;Geriatrics;Liver Neoplasms;Sleep Quality;Focus Groups;Anesthetics, Inhalation;Hospitalization;Gabapentin;Accidental Falls;Nomograms;Heart Rate;Mass Screening;Frailty;Hypothermia;Hepatectomy;Carcinoma, Hepatocellular;Paliperidone Palmitate;Curriculum;Coronary Artery Bypass;Hip Fractures;Delirium"
Emergence Delirium,"Sevoflurane;Propofol;Vitamin D;Cardiac Surgical Procedures;Insulin Resistance;Transcatheter Aortic Valve Replacement;Transcranial Direct Current Stimulation;Anesthesia, General;Nasal Surgical Procedures;Respiratory Insufficiency;Anesthetics, Local;Dementia;Anesthesia, Conduction;Benzodiazepines;Diabetes Mellitus;Administration, Intranasal;Nerve Block;Diabetes Mellitus, Type 2;Melatonin;Arthroplasty, Replacement, Knee;Dose-Response Relationship, Drug;Stroke;Orthopedic Procedures;Brain Injuries;Frailty;Pain, Postoperative;Elective Surgical Procedures;Remifentanil;Colorectal Neoplasms;Hypotension;Lung Neoplasms;Thoracic Surgery;Spinal Fusion;Surgical Wound Infection;Laparoscopy;White Matter;Cognitive Dysfunction;Hypnotics and Sedatives;Postoperative Cognitive Complications;Airway Extubation;Emergence Delirium;Drug-Related Side Effects and Adverse Reactions;Anesthetics;Colonic Neoplasms;Hip Fractures;Hematoma, Subdural, Chronic;Arthroplasty, Replacement;Delirium;Anesthesia;Anesthetics, Inhalation;Dexmedetomidine;Ropivacaine"
Consciousness Disorders,"Urban Population;Advance Care Planning;Cerebral Cortex;Fasting;Patient Satisfaction;Randomized Controlled Trials as Topic;Cross-Over Studies;Tissue and Organ Procurement;Organ Transplantation;COVID-19;Acupuncture Therapy;Patient Preference;Professional-Family Relations;Extracorporeal Membrane Oxygenation;Intubation, Intratracheal;Recovery of Function;Muscle Weakness;Syncope;Critical Illness;Methylprednisolone;Hypoxia-Ischemia, Brain;Pneumonia;Tissue Donors;Predictive Value of Tests;Cough;Electric Impedance;Ethics Committees;Estradiol;Cerebrovascular Circulation;Urinary Tract Infections;Magnetic Resonance Imaging;Music Therapy;Third-Party Consent;Hemodynamics;Anesthesia, Spinal;Transcranial Direct Current Stimulation;Lung Transplantation;Death;Hepatitis C;Unconscious, Psychology;Diffusion Tensor Imaging;Hypothermia, Induced;Hepatitis B;Computer Simulation;Autopsy;Critical Care;Lung Volume Measurements;Persistent Vegetative State;Thalamus;Heart Arrest;Consciousness Disorders;Syncope, Vasovagal;Ultrasonography, Doppler, Transcranial;Cardiopulmonary Resuscitation;Tuberculosis, Meningeal;Neurovascular Coupling;Antitubercular Agents;Coma;Fever;Health Knowledge, Attitudes, Practice;Spectroscopy, Near-Infrared;Perfusion;Catheter Ablation;Models, Neurological;Registries;Delirium;Catheter-Related Infections;Brain;Consciousness;Rats, Wistar;Liver Transplantation;Antibodies, Monoclonal, Humanized;Glasgow Coma Scale;Transcutaneous Electric Nerve Stimulation;Transcranial Magnetic Stimulation;Vagus Nerve Stimulation;Brain Death;Stroke"
Unconsciousness,"Urban Population;Fever;Health Knowledge, Attitudes, Practice;Spectroscopy, Near-Infrared;Perfusion;Catheter Ablation;Cough;Registries;Diffusion Tensor Imaging;Delirium;Catheter-Related Infections;Hypothermia, Induced;Advance Care Planning;Electric Impedance;Hepatitis B;Ethics Committees;Cerebral Cortex;Fasting;Estradiol;Patient Satisfaction;Randomized Controlled Trials as Topic;Brain;Autopsy;Cerebrovascular Circulation;Critical Care;Consciousness;Lung Volume Measurements;Rats, Wistar;Tissue and Organ Procurement;Organ Transplantation;Antibodies, Monoclonal, Humanized;Liver Transplantation;COVID-19;Urinary Tract Infections;Thalamus;Acupuncture Therapy;Persistent Vegetative State;Patient Preference;Glasgow Coma Scale;Professional-Family Relations;Heart Arrest;Extracorporeal Membrane Oxygenation;Third-Party Consent;Hemodynamics;Intubation, Intratracheal;Consciousness Disorders;Recovery of Function;Syncope, Vasovagal;Anesthesia, Spinal;Muscle Weakness;Predictive Value of Tests;Syncope;Consensus;Lung Transplantation;Critical Illness;Ultrasonography, Doppler, Transcranial;Methylprednisolone;Hypoxia-Ischemia, Brain;Pneumonia;Death;Cardiopulmonary Resuscitation;Brain Death;Tissue Donors;Tuberculosis, Meningeal;Unconscious, Psychology;Hepatitis C;Neurovascular Coupling;Stroke;Antitubercular Agents;Coma"
Coma,"Health Knowledge, Attitudes, Practice;Spectroscopy, Near-Infrared;Perfusion;Inflammation;Registries;Diffusion Tensor Imaging;Delirium;Catheter-Related Infections;Hypothermia, Induced;Electric Impedance;Hepatitis B;Ethics Committees;Cerebral Cortex;Biomarkers;Estradiol;Randomized Controlled Trials as Topic;Brain;Autopsy;Cerebrovascular Circulation;Critical Care;Consciousness;Lung Volume Measurements;Rats, Wistar;Tissue and Organ Procurement;Organ Transplantation;Antibodies, Monoclonal, Humanized;Liver Transplantation;COVID-19;Urinary Tract Infections;Thalamus;Acupuncture Therapy;Persistent Vegetative State;Glasgow Coma Scale;Professional-Family Relations;Extracorporeal Membrane Oxygenation;Third-Party Consent;Hemodynamics;Intubation, Intratracheal;Consciousness Disorders;Recovery of Function;Predictive Value of Tests;Consensus;Lung Transplantation;Critical Illness;Ultrasonography, Doppler, Transcranial;Methylprednisolone;Hypoxia-Ischemia, Brain;Pneumonia;Death;Cardiopulmonary Resuscitation;Brain Death;Tissue Donors;Hepatitis C;Neurovascular Coupling;Stroke;Coma;Noninvasive Ventilation"
Persistent Vegetative State,"Urban Population;Minimal Clinically Important Difference;Deep Learning;Spectroscopy, Near-Infrared;Spores, Bacterial;Advance Care Planning;Encephalitis;Cerebral Cortex;Spinal Cord Stimulation;Music;Brain Injuries;Fractals;Brain;Caregivers;Cross-Over Studies;Consciousness;Chronic Traumatic Encephalopathy;Anti-N-Methyl-D-Aspartate Receptor Encephalitis;Deep Brain Stimulation;Persistent Vegetative State;Patient Preference;Psychotic Disorders;Epilepsy;Consciousness Disorders;Tremor;Brain Injuries, Traumatic;Recovery of Function;Transcranial Magnetic Stimulation;Ischemic Stroke;Transcranial Direct Current Stimulation;Bacillus subtilis;Death;Electroencephalography;Catatonia;Brain Death;Acoustic Stimulation;Wakefulness;Orthopedics;Stroke;Teratoma;Pyridines;Coma"
Stupor,"Herbicides;Diving;Catheter Ablation;Anesthesia;Tomography, X-Ray Computed;Neurology;Delirium;Water Pollutants, Chemical;Juvenile Hormones;Caenorhabditis elegans;Strabismus;Inert Gas Narcosis;Diagnostic Errors;Hospital Mortality;Sleep Apnea, Obstructive;Benzodiazepines;COVID-19;Respiration, Artificial;Stupor;Nitrous Oxide;Anesthetics;Substance-Related Disorders;Survival Rate;Carbon Dioxide;Zebrafish;Sleep Deprivation;Ophthalmoplegia;Exophthalmos;Hypothermia;Hyperbaric Oxygenation;Retinal Diseases;Hypoxia-Ischemia, Brain;Nervous System Diseases;Graves Ophthalmopathy;Mydriasis;Decompressive Craniectomy;Catatonia;Electroencephalography;Clinical Laboratory Techniques;Stroke;Drug-Related Side Effects and Adverse Reactions;Glaucoma;Cognitive Dysfunction;Midazolam"
Syncope,"Water Pipe Smoking;Tilt-Table Test;Migraine Disorders;Catheter Ablation;Cough;Anesthesia;Pacemaker, Artificial;Myocardial Ischemia;Coronary Artery Disease;Hypotension, Orthostatic;Arrhythmias, Cardiac;Death, Sudden, Cardiac;Heart Diseases;Cardiomyopathy, Dilated;Fasting;Postoperative Complications;Patient Satisfaction;Steam Bath;Medicare;Sports;Hypoglycemia;Tachycardia, Ventricular;SARS-CoV-2;Vertigo;Hypotension;Postural Orthostatic Tachycardia Syndrome;COVID-19;Atrial Fibrillation;Vaccination;Anesthetics;Heart Arrest;Pulmonary Disease, Chronic Obstructive;Lipodystrophy, Familial Partial;Hospitalization;Heart Failure;Epilepsy;Coronary Vasospasm;Birds;Simulation Training;Ventricular Premature Complexes;Syncope, Vasovagal;Anesthesia, Spinal;Cardiomyopathy, Hypertrophic;Electrocardiography, Ambulatory;Ischemic Stroke;Syncope;Acute Coronary Syndrome;Heat Exhaustion;Atrioventricular Block;Orthostatic Intolerance;Hypertension;Atrial Premature Complexes;Aortic Valve Stenosis;Atherosclerosis;Post-Acute COVID-19 Syndrome;Epilepsies, Partial;Emergencies;Phenotype;Leiomyomatosis;Carbon Monoxide Poisoning;Anaphylaxis;Blood Donors;Sex Characteristics"
