Symptom,Disease
tracheitis,newborn respiratory distress syndrome;pneumonia;cystadenocarcinoma;mastoiditis;type 1 diabetes mellitus;villous adenocarcinoma;adrenal carcinoma;aspiration pneumonia;pulmonary aspergilloma;renal carcinoma;gastric adenocarcinoma;adenocarcinoma in situ;mediastinitis;cystic fibrosis;comedo carcinoma;ovary adenocarcinoma;thyroiditis;connective tissue disease;cecum adenocarcinoma;type 2 diabetes mellitus;adult respiratory distress syndrome;urethra adenocarcinoma;tracheal stenosis;pulmonary embolism;cysticercosis;pulmonary fibrosis;aspergillosis;mastitis;bronchopneumonia;diabetes mellitus;teratocarcinoma;tracheal disease;ureter adenocarcinoma;epiglottitis;colon adenocarcinoma;adenocarcinoma;lung adenocarcinoma;cecal disease;pharyngitis;anus adenocarcinoma;cholangitis;orchitis;eccrine adenocarcinoma;otitis media;anal carcinoma;neuroaspergillosis;breast adenocarcinoma;carcinoma;tubular adenocarcinoma;nasopharyngitis;penis carcinoma;Coats disease;invasive aspergillosis;bone carcinoma;ventilation pneumonitis;kidney disease;mixed connective tissue disease;renal hypertension;vitreous disease;jejunal adenocarcinoma;aspiration pneumonitis;heart disease;skin carcinoma;herpes simplex;adenosarcoma;bronchiolitis;bladder adenocarcinoma;vulva adenocarcinoma;pulmonary sarcoidosis;retinitis;eye carcinoma;lung carcinoma;hypertension;tonsillitis;thymus adenocarcinoma;COVID-19;proctitis;adenoiditis;cheilitis;bronchitis;iris disease;bronchiectasis;laryngitis;tracheitis;rectum adenocarcinoma;pulmonary tuberculosis
thrombocytopenia,lymphopenia;purpura;pica disease;Sjogren's syndrome;pneumonia;bone angioendothelial sarcoma;Coats disease;hemangioma;thrombocytosis;blood coagulation disease;hemolytic-uremic syndrome;glomangioma;pulmonary embolism;brucellosis;pulmonary fibrosis;aortic valve stenosis;Conn's syndrome;Danon disease;anemia;COVID-19;campylobacteriosis;neutropenia;arthritis;nocardiosis;Horner's syndrome;small cell carcinoma;myelodysplastic syndrome;splenic disease;atypical hemolytic-uremic syndrome;primary thrombocytopenia;endocarditis;deep angioma;leukopenia;acquired thrombocytopenia;lens disease;Sjogren-Larsson syndrome;human cytomegalovirus infection;heart disease;vasculitis;periarthritis;urethritis;von Willebrand's disease;polygenic disease;penile disease;acute myocarditis;tricuspid valve stenosis;toxic myocarditis;dysplastic nevus syndrome;lymphangioma;myocarditis;thrombosis;thrombocytopenia;skin hemangioma;Cytomegalovirus retinitis;Bjornstad syndrome
prostration,
rales,acquired immunodeficiency syndrome;laryngomalacia;asthma;Crohn's colitis;type 1 diabetes mellitus;corneal disease;upper respiratory tract disease;cysticercosis;hypertension;lower respiratory tract disease;anovulation;respiratory system disease;COVID-19;diabetes mellitus;proctitis;cheilitis;bronchitis;renal hypertension;autism spectrum disorder;overnutrition;cystic fibrosis;respiratory syncytial virus infectious disease;gastroesophageal reflux disease;bronchiectasis;orchitis;nasopharyngeal disease;gastroesophageal cancer;type 2 diabetes mellitus;bronchiolitis;laryngeal disease
seizure,congenital disorder of glycosylation type IIj;congenital disorder of glycosylation Ii;congenital disorder of glycosylation If;congenital disorder of glycosylation Ia;congenital disorder of glycosylation Iw;Parkinson's disease 19A;congenital disorder of glycosylation Ir;congenital disorder of glycosylation type IIc;congenital disorder of glycosylation type I;Adie syndrome;congenital disorder of glycosylation Il;bipolar I disorder;Vici syndrome;Parkinson's disease 3;congenital disorder of glycosylation type IIb;Parkinson's disease 2;congenital disorder of glycosylation Icc;congenital disorder of glycosylation type IIf;Aicardi syndrome;congenital disorder of glycosylation Ib;congenital disorder of glycosylation type IIl;Parkinson's disease 4;congenital disorder of glycosylation type IIi;lipoma;prion disease;congenital disorder of glycosylation In;Achard syndrome;congenital disorder of glycosylation Ig;uterine inflammatory disease;inflammatory bowel disease;Danon disease;Parkinsonism;Parkinson's disease 6;Parkinson's disease 21;congenital disorder of glycosylation Iq;congenital disorder of glycosylation type IIo;congenital disorder of glycosylation type II;congenital disorder of glycosylation type IIg;Parkinson's disease 23;Parkinson's disease 17;congenital disorder of glycosylation type IIe;Parkinson's disease 25;Parkinson's disease 20;congenital disorder of glycosylation Iaa;congenital disorder of glycosylation It;status epilepticus;congenital disorder of glycosylation Ij;congenital disorder of glycosylation Ik;Parkinson's disease 8;Parkinson's disease 15;secondary Parkinson disease;congenital disorder of glycosylation Ic;congenital disorder of glycosylation type IIq;congenital disorder of glycosylation Ix;congenital disorder of glycosylation Ie;epilepsy;congenital disorder of glycosylation Iu;congenital disorder of glycosylation type IIk;congenital disorder of glycosylation type IIa;congenital disorder of glycosylation type IIn;Aicardi-Goutieres syndrome;Parkinson's disease 14;Parkinson's disease 22;Parkinson's disease 7;bipolar disorder;pelvic inflammatory disease;bipolar ll disorder;congenital disorder of glycosylation Iy;COVID-19;congenital disorder of glycosylation Id;congenital disorder of glycosylation type IId;congenital disorder of glycosylation;congenital disorder of glycosylation Ip;congenital disorder of glycosylation Ih;congenital disorder of glycosylation type IIh;congenital disorder of glycosylation type IIp;congenital disorder of glycosylation type IIm;Plica syndrome;Parkinson's disease;congenital disorder of glycosylation Im;Parkinson's disease 1
liver inflammation,parapsoriasis;psoriasis 5;hepatitis E;hepatitis C;psoriasis;uremia;psoriasis 1;psoriasis 6;loiasis;psoriasis 11;psoriasis 13;setariasis;psoriasis 12;psoriasis 15;hepatitis;hepatitis B;psoriasis 9;hepatitis D;psoriasis 8;psoriasis 7;ptosis;mucopolysaccharidosis;liver cirrhosis;hepatitis A;psoriasis 2;Rift Valley fever;ascariasis;psoriasis 4;psoriasis 10;psoriasis 3
severe backache,polyradiculopathy;pica disease;nail disease;spondylolisthesis;urethral obstruction;chronic venous insufficiency;spinal disease;hydronephrosis;cerebral degeneration;scoliosis;retinal disease;radiculopathy;vaginal disease;spondylolysis;nocardiosis;osteochondrosis;intestinal obstruction;nosophobia;spinal stenosis;spondylosis;colitis;urethral calculus;pupil disease;tauopathy;renal artery obstruction;mucolipidosis;nephrosis;calcinosis;ureteral obstruction;prion disease;pinta disease;venous insufficiency
conjunctivitis,conjunctivitis;biotin deficiency;pneumonia;eye disease;cataract 38;dry eye syndrome;cataract 25;Conn's syndrome;Horner's syndrome;cataract 35;colitis;Sjogren-Larsson syndrome;keratoconus;allergic conjunctivitis;pinguecula;bacterial conjunctivitis;exotropia;scleritis;liver disease;bronchiolitis obliterans;asthma;Bartter disease;cataract 41;vernal conjunctivitis;keratoconjunctivitis sicca;cataract 43;autoimmune disease;Danon disease;cervicitis;Lyme disease;parasitic conjunctivitis;granulomatous angiitis;chronic conjunctivitis;hypotropia;mucopolysaccharidosis I;urolithiasis;cataract 28;cataract 30;corneal ulcer;cataract 24;granulomatosis with polyangiitis;Sjogren's syndrome;photosensitivity disease;Coats disease;rhinitis;trichuriasis;blepharoconjunctivitis;cataract 48;cataract;cataract 33;rosacea conjunctivitis;acute conjunctivitis;epidermolysis bullosa dystrophica;hepatitis;glaucoma;retinal vasculitis;keratoconjunctivitis;vitamin B12 deficiency;epidermolysis bullosa acquisita;dermatitis;cataract 29;iritis;cataract 36;herpes zoster oticus;cataract 37;esotropia;brachyolmia;trachoma;Castleman disease;hyperuricemia;cataract 7;cataract 40;trichomoniasis;trichinosis;acne;cataract 42;tonsillitis;keratitis;cataract 27;hypercalcemia;cataract 44;cataract 45;cataract 23;ehrlichiosis;ileitis;Ollier disease;periarthritis;ptosis;hyperglycemia;mucopolysaccharidosis;neurotrophic keratoconjunctivitis;cerebritis;cataract 18;cataract 47;Bjornstad syndrome
severe conjunctivitis,conjunctivitis;herpes zoster oticus;corneal ulcer;eyelid disease;asthma;tuberculosis;brachyolmia;trachoma;uterine inflammatory disease;hyperuricemia;dry eye syndrome;vernal conjunctivitis;keratoconjunctivitis sicca;rhinitis;trichomoniasis;amyloidosis;conjunctival disease;blepharoconjunctivitis;trichuriasis;kidney disease;trichinosis;renal tuberculosis;keratitis;autoimmune disease;conjunctival vascular disease;pterygium;cervicitis;hypercalcemia;COVID-19;rosacea conjunctivitis;acute conjunctivitis;amusia;hepatitis;fucosidosis;pemphigus;parasitic conjunctivitis;uveitis;blepharitis;ehrlichiosis;ophthalmia neonatorum;chronic conjunctivitis;keratoconjunctivitis;pharyngitis;ectropion;colitis;ileitis;skin sarcoidosis;vein disease;keratoconus;hydrocephalus;dermatitis;periarthritis;iritis;allergic conjunctivitis;hyperglycemia;neurosarcoidosis;herpes simplex;nephritis;ophthalmoplegia;skin disease;bacterial conjunctivitis;neurotrophic keratoconjunctivitis;pyelonephritis;entropion;rosacea;cerebritis;oral tuberculosis;esophagitis;IgA pemphigus;scleritis;familial mediterranean fever;coccidiosis;urolithiasis;sarcoidosis
severe headache,fibromyalgia;central nervous system sarcoma;central nervous system lymphoma;malaria;central nervous system vasculitis;hemophilia B;pedophilia;migraine with aura;dermatomycosis;nasopharyngitis;essential hypertension;endometriosis;pituitary hypoplasia;endometritis;migraine without aura;COVID-19;eclampsia;hemoglobinuria;cervix endometriosis;brain disease;sphenoid sinusitis;central nervous system disease;pharyngitis;pre-eclampsia;vitamin B12 deficiency;herpes zoster;intracranial hypertension;central nervous system osteosarcoma;intracranial hypotension;pseudotumor cerebri;sinusitis;central nervous system teratoma;laryngitis;esophagitis;cerebrovascular disease;vestibular disease;prion disease;testicular disease
severe joint pain,parapsoriasis;psoriasis 5;psoriasis;psoriasis 1;psoriasis 6;brucellosis;loiasis;neuritis;autoimmune disease;psoriasis 13;psoriasis 11;setariasis;COVID-19;psoriasis 12;psoriasis 15;osteoarthritis;arthritis;bursitis;tenosynovitis;myelodysplastic syndrome;psoriasis 9;aortic valve insufficiency;tooth disease;septic arthritis;periarthritis;osteomyelitis;tricuspid valve insufficiency;psoriasis 8;psoriasis 7;iritis;dysplastic nevus syndrome;psoriasis 3;stomatitis;central nervous system teratoma;erythromelalgia;myelitis;psoriasis 2;chikungunya;ascariasis;psoriasis 4;synovitis;psoriasis 10;brachial plexus lesion
necrosis,glycogen storage disease VII;glycogen storage disease XV;CADASIL 1;otosclerosis 1;pericardial effusion;hemosiderosis;CADASIL 2;brain infarction;otosclerosis 8;otosclerosis 4;pelvic inflammatory disease;osteopetrosis;uterine inflammatory disease;glycogen storage disease IXd;brain stem infarction;otosclerosis 10;otosclerosis 3;glycogen storage disease III;hypertension;glycogen storage disease IXc;glycogen storage disease I;glycogen storage disease Ic;inflammatory bowel disease;osteoblastoma;arteriolosclerosis;cerebral atherosclerosis;silent myocardial infarction;tuberous sclerosis 2;glycogen storage disease V;COVID-19;osteochondrosis;atherosclerosis;myocardial infarction;lateral myocardial infarction;tuberous sclerosis 1;otosclerosis 7;tuberous sclerosis;arteriosclerosis;glycogen storage disease IXa;glycogen storage disease IXb;apical myocardial infarction;aortic atherosclerosis;glycogen storage disease;glycogen storage disease Ia;osteoporosis;renal hypertension;septal myocardial infarction;aortic dissection;otosclerosis 5;nephrosclerosis;glycogen storage disease VIII;osteonecrosis;otosclerosis;glycogen storage disease VI;inferior myocardial infarction;ptosis;acute myocardial infarction;osteosclerosis;otosclerosis 11;otosclerosis 2;cerebral infarction;lateral sclerosis;lacrimal apparatus disease;hemopericardium;glycogen storage disease IX;glycogen storage disease II;glycogen storage disease IV;CADASIL;atelosteogenesis;posterior myocardial infarction;glycogen storage disease Ib;glomerulosclerosis
severe necrosis,cellulitis;glycogen storage disease VII;thrombocytosis;type 1 diabetes mellitus;blood coagulation disease;glycogen storage disease III;brain stem infarction;brain small vessel disease;brain small vessel disease 3;renal artery disease;osteochondrosis;osteoporosis;aortic valve insufficiency;apical myocardial infarction;mitral valve insufficiency;coronary artery disease;osteosclerosis;glycogen storage disease IX;thrombocytopenia;retinal ischemia;folliculitis;type 2 diabetes mellitus;glycogen storage disease Ib;brain ischemia;brain small vessel disease 1;brain infarction;glycogen storage disease I;vertebral artery insufficiency;morbid obesity;brain small vessel disease 2;Danon disease;silent myocardial infarction;campylobacteriosis;diabetes mellitus;nocardiosis;glycogen storage disease Ia;glycogen storage disease IXa;overnutrition;glycogen storage disease VIII;tricuspid valve insufficiency;acute myocardial infarction;acute myocarditis;glycogen storage disease II;pulmonary artery disease;glycogen storage disease XV;intracranial arteriosclerosis;CADASIL 2;anemia;actinobacillosis;glycogen storage disease V;myocardial infarction;lateral myocardial infarction;endocarditis;arteriosclerosis;acquired thrombocytopenia;septal myocardial infarction;cardiomyopathy;glycogen storage disease VI;inferior myocardial infarction;posterior myocardial infarction;CADASIL 1;osteopetrosis;glycogen storage disease IXd;glycogen storage disease IXc;glycogen storage disease Ic;COVID-19;ischemia;primary thrombocytopenia;glycogen storage disease;glycogen storage disease IXb;aortic dissection;herpes zoster;osteonecrosis;toxic myocarditis;ptosis;spinal cord sarcoma;myoma;myocarditis;glycogen storage disease IV;CADASIL
sinusitis,axillary adenitis;paranasal sinus disease;asthma;factitious disorder;paranasal sinus cancer;chronic maxillary sinusitis;mucormycosis;type 1 diabetes mellitus;maxillary sinusitis;rhinitis;actinomycosis;acute maxillary sinusitis;essential hypertension;pituitary hypoplasia;COVID-19;acute sphenoidal sinusitis;diabetes mellitus;lacrimal duct obstruction;sphenoid sinusitis;otomycosis;ethmoid sinusitis;intracranial hypertension;iritis;orbital cellulitis;otitis media;intracranial hypotension;chickenpox;sinusitis;choanal atresia;type 2 diabetes mellitus
skin ulcer,bone disease;yaws;Caroli disease;mucormycosis;Crohn's disease;anemia;Carrion's disease;COVID-19;hemoglobinuria;diabetes mellitus;histiocytosis;ischemia;melanoma;overnutrition;dementia;osteomyelitis;myelitis;leprosy;bacteriuria;prion disease
sneezing,subcutaneous mycosis;pharyngitis;cataract 37;cataract 25;COVID-19;laryngitis;cataract 35;central retinal vein occlusion;vertebral artery occlusion;cataract 38;central retinal artery occlusion;cataract 36;tracheal disease;cerebral artery occlusion;cataract 28;intestinal obstruction;cataract 42;nose disease;cataract 27;retinal artery occlusion;cataract 40;asthma;cataract 47;cataract 29;cataract 45;Norrie disease;Naxos disease;iritis;nasopharyngitis;cataract;Thomsen disease;cecal disease;cataract 24;cataract 7;branch retinal artery occlusion;ophthalmoplegia;rhinitis;cataract 33;cataract 30;cataract 41;cataract 43;cholangitis;cataract 23;retinal vein occlusion;sinusitis;Danon disease;cataract 48;cataract 18;bone disease;cataract 44
spasticity,spinocerebellar ataxia type 12;cerebellar ataxia;amyotrophic lateral sclerosis type 6;amyotrophic lateral sclerosis type 10;neuromuscular disease;spinocerebellar ataxia type 5;amyotrophic lateral sclerosis type 12;amyotrophic lateral sclerosis;amyotrophic lateral sclerosis type 24;optic atrophy 6;spinocerebellar ataxia 44;amyotrophic lateral sclerosis type 11;amyotrophic lateral sclerosis type 4;amyotrophic lateral sclerosis type 25;amyotrophic lateral sclerosis type 3;amyotrophic lateral sclerosis type 5;amyotrophic lateral sclerosis type 26;X-linked cerebellar ataxia;amyotrophic lateral sclerosis type 19;spinocerebellar ataxia 46;degenerative disc disease;leukostasis;X-linked spinocerebellar ataxia 5;spinocerebellar ataxia type 20;spinocerebellar ataxia type 11;amyotrophic lateral sclerosis type 22;optic atrophy 3;spinocerebellar ataxia type 28;amyotrophic lateral sclerosis type 9;X-linked spinocerebellar ataxia 3;spinocerebellar ataxia type 1;amyotrophic lateral sclerosis type 7;amyotrophic lateral sclerosis type 13;amyotrophic lateral sclerosis type 8;X-linked spinocerebellar ataxia 2;amyotrophic lateral sclerosis type 16;intellectual disability;spinocerebellar ataxia type 13;spinocerebellar ataxia type 15;optic atrophy 12;spinocerebellar ataxia type 6;optic atrophy 4;cerebral palsy;spinocerebellar ataxia type 4;optic atrophy 10;amyotrophic lateral sclerosis type 28;optic atrophy 2;spinocerebellar ataxia type 25;amyotrophic lateral sclerosis type 2;optic atrophy 1;spinocerebellar ataxia type 21;X-linked spinocerebellar ataxia 4;amyotrophic lateral sclerosis type 15;eye degenerative disease;optic atrophy 5;neurodegenerative disease;spinocerebellar ataxia type 37;optic atrophy;amyotrophic lateral sclerosis type 23;spinocerebellar ataxia type 18;spinocerebellar ataxia type 27;syndromic intellectual disability;amyotrophic lateral sclerosis type 20;multiple sclerosis;amyotrophic lateral sclerosis type 1;spinocerebellar ataxia type 36;spinocerebellar ataxia type 17;spinocerebellar ataxia type 31;spinocerebellar ataxia type 29;sporatic amyotrophic lateral sclerosis;spinocerebellar ataxia type 14;spinocerebellar ataxia type 19/22;spinocerebellar ataxia type 30;spinocerebellar ataxia type 40;optic atrophy 9;cholestasis;optic atrophy 11;spinocerebellar ataxia type 34;amyotrophic lateral sclerosis type 21;spinocerebellar ataxia type 23;spinocerebellar ataxia type 26;spinocerebellar ataxia type 7;optic atrophy 7;spinocerebellar ataxia type 2;amyotrophic lateral sclerosis type 18;spinocerebellar ataxia type 8;spinocerebellar ataxia type 38;spinocerebellar ataxia type 10;spinocerebellar ataxia type 35;diarrhea;optic atrophy 8;X-linked spinocerebellar ataxia 1;spinocerebellar ataxia 45
